FC東京.xlsx,市場価値.xlsx,通算対戦成績.xlsx,,objective variable,,,,,explanatory variable,,,,,,,,,,,,,
Basic information,,,,point result,,score result,,,compatibility,,,others,ME,,,,,opponent,,,,
Year,Section,name of me,name of opponent,gain points,lose points,"score(win=3,draw=1,lose=0)","lose=0, not lose=1","not win=0, win=1",mean score(compatibility),mean gain points(compatibility),mean lose points(compatibility),Home/Away,score of last year(me),mean score points in last five games(me),total market value(me),mean age(me),number of foreign people(me),score of last year(opponent),total market value(opponent),mean age(opponent),number of foreign people(opponent),
2019,17,FC東京,横浜FM,4,2,3,1,1,1.37254902,1.2,1.2,H,50,1.2,0.806397358,23.2,8,41,0.885110547,24.2,9,
2019,18,FC東京,Ｇ大阪,3,1,3,1,1,1.395348837,1.5,1.7,H,50,1.2,0.806397358,23.2,8,48,1.493348827,24.3,7,
2019,19,FC東京,川崎Ｆ,0,3,0,0,0,1.071428571,1.3,1.9,H,50,1.8,0.806397358,23.2,8,69,1.169689,24.9,5,
2019,21,FC東京,Ｃ大阪,3,0,3,1,1,1.411764706,1.5,1.3,H,50,1.8,0.806397358,23.2,8,50,1.179596954,24.8,9,
2019,22,FC東京,仙台,1,0,3,1,1,1.744186047,1.6,1.1,H,50,2.4,0.806397358,23.2,8,45,0.673190422,25.9,6,
2019,23,FC東京,広島,0,1,0,0,0,1.272727273,1.2,1.3,H,50,2.4,0.806397358,23.2,8,57,0.868597291,25.3,5,
2019,32,FC東京,湘南,1,1,1,1,0,2.222222222,1.7,0.8,H,50,2,0.806397358,23.2,8,41,0.566955139,23.2,5,
2019,33,FC東京,浦和,1,1,1,1,0,0.895833333,1,1.6,H,50,2,0.806397358,23.2,8,51,1.463074524,24.9,5,
2020,3,FC東京,川崎Ｆ,0,4,0,0,0,1.071428571,1.3,1.9,H,64,1.6,0.938648733,23.7,5,60,1.178696606,26.1,5,
2020,5,FC東京,浦和,2,0,3,1,1,0.895833333,1,1.6,H,64,1.8,0.938648733,23.7,5,37,1.561849942,25.3,6,
2020,8,FC東京,鳥栖,2,3,0,0,0,1.580645161,1.2,1.1,H,64,1.6,0.938648733,23.7,5,36,0.659105805,24.4,10,
2020,10,FC東京,名古屋,1,0,3,1,1,1.590909091,1.3,1,H,64,1.2,0.938648733,23.7,5,37,1.258199641,24.9,6,
2020,12,FC東京,湘南,3,0,3,1,1,2.222222222,1.7,0.8,H,64,1.2,0.938648733,23.7,5,36,0.678596871,23.5,3,
2020,26,FC東京,鹿島,1,2,0,0,0,1,1.4,1.9,H,64,1.6,0.938648733,23.7,5,63,1.064314821,24.4,5,
2020,15,FC東京,横浜FC,2,1,3,1,1,2.25,1.4,0.5,H,64,2,0.938648733,23.7,5,31,0.471888981,26.9,4,
2020,24,FC東京,大分,2,3,0,0,0,1.742857143,1.2,0.8,H,64,2,0.938648733,23.7,5,47,0.710398085,24.1,1,
2020,17,FC東京,仙台,1,0,3,1,1,1.744186047,1.6,1.1,H,64,2,0.938648733,23.7,5,41,0.883765993,24.8,7,
2020,18,FC東京,Ｃ大阪,2,0,3,1,1,1.411764706,1.5,1.3,H,64,2,0.938648733,23.7,5,59,1.187416294,23.7,8,
2020,21,FC東京,Ｇ大阪,0,1,0,0,0,1.395348837,1.5,1.7,H,64,2.4,0.938648733,23.7,5,47,1.074573277,23.9,7,
2020,22,FC東京,清水,3,1,3,1,1,1.592592593,1.4,1.2,H,64,1.8,0.938648733,23.7,5,39,1.03866868,25,9,
2020,28,FC東京,横浜FM,0,4,0,0,0,1.37254902,1.2,1.2,H,64,1.8,0.938648733,23.7,5,70,1.297694697,23,7,
2020,30,FC東京,柏,1,3,0,0,0,1.395833333,1.4,1.2,H,64,1.2,0.938648733,23.7,5,31,0.914541362,23.9,6,
2020,33,FC東京,札幌,1,0,3,1,1,1.916666667,1.7,1,H,64,0.6,0.938648733,23.7,5,46,1.005328698,23.9,9,
2020,31,FC東京,広島,1,0,3,1,1,1.272727273,1.2,1.3,H,64,0.8,0.938648733,23.7,5,55,0.842732169,25.7,4,
2020,34,FC東京,神戸,1,0,3,1,1,1.854166667,1.4,0.9,H,64,1.4,0.938648733,23.7,5,47,1.233579346,24.5,5,
2021,2,FC東京,Ｃ大阪,3,2,3,1,1,1.411764706,1.5,1.3,H,57,1.6,1.056703463,25.6,6,60,1.235336667,26.5,5,
2021,3,FC東京,神戸,2,3,0,0,0,1.854166667,1.4,0.9,H,57,2.2,1.056703463,25.6,6,36,1.316476397,26.9,6,
2021,5,FC東京,湘南,3,2,3,1,1,2.222222222,1.7,0.8,H,57,1.6,1.056703463,25.6,6,27,0.695034123,25.8,4,
2021,6,FC東京,仙台,2,1,3,1,1,1.744186047,1.6,1.1,H,57,1.6,1.056703463,25.6,6,28,0.649746831,26.3,8,
2021,8,FC東京,札幌,2,1,3,1,1,1.916666667,1.7,1,H,57,1.6,1.056703463,25.6,6,39,0.835298928,26.3,7,
2021,9,FC東京,川崎Ｆ,2,4,0,0,0,1.071428571,1.3,1.9,H,57,2.2,1.056703463,25.6,6,83,1.398245117,27.1,5,
2021,11,FC東京,鳥栖,1,2,0,0,0,1.580645161,1.2,1.1,H,57,1.4,1.056703463,25.6,6,36,0.652891782,25.3,7,
2021,12,FC東京,横浜FM,0,3,0,0,0,1.37254902,1.2,1.2,H,57,0.8,1.056703463,25.6,6,47,1.242255559,26.5,5,
2017,6,川崎Ｆ,甲府,1,1,1,1,0,2.025,2.1,1.2,H,76,2,0.977574168,25.5,6,30,0.577234271,26.7,8,
2017,8,川崎Ｆ,清水,2,2,1,1,0,1.567567568,1.8,1.4,H,76,1.6,0.977574168,25.5,6,22,0.711567592,24.6,5,
2017,10,川崎Ｆ,新潟,3,0,3,1,1,1.441860465,1.7,1.3,H,76,1.2,0.977574168,25.5,6,36,0.711567592,24.3,6,
2017,15,川崎Ｆ,広島,1,0,3,1,1,1.76744186,1.8,1.1,H,76,1.8,0.977574168,25.5,6,58,1.288801862,25.9,5,
2017,17,川崎Ｆ,神戸,5,0,3,1,1,1.714285714,2.1,1.3,H,76,2,0.977574168,25.5,6,40,1.82547013,25.2,5,
2017,13,川崎Ｆ,浦和,4,1,3,1,1,1.466666667,1.6,1.4,H,76,2,0.977574168,25.5,6,66,1.322052684,26.5,3,
2017,19,川崎Ｆ,磐田,2,5,0,0,0,1.71875,1.8,1.6,H,76,2.6,0.977574168,25.5,6,46,0.80333986,25.5,3,
2017,20,川崎Ｆ,川崎Ｆ,1,1,1,1,0,2.146666667,0.866666667,0.64,H,76,2,0.977574168,25.5,6,76,0.977574168,25.5,6,
2017,22,川崎Ｆ,鹿島,3,1,3,1,1,1.551020408,1.6,1.5,H,76,2,0.977574168,25.5,6,78,1.179074149,24.3,7,
2017,23,川崎Ｆ,札幌,2,1,3,1,1,2.379310345,2.2,0.7,H,76,2,0.977574168,25.5,6,22,0.673661654,26.9,7,
2017,25,川崎Ｆ,横浜FM,3,0,3,1,1,1.604166667,1.5,1.4,H,76,2.2,0.977574168,25.5,6,44,0.901097277,23.2,6,
2017,28,川崎Ｆ,Ｃ大阪,5,1,3,1,1,1.428571429,2,1.8,H,76,2.2,0.977574168,25.5,6,22,1.172423985,23.2,5,
2017,29,川崎Ｆ,仙台,3,2,3,1,1,2.022727273,2.1,1.2,H,76,2.2,0.977574168,25.5,6,46,0.736838216,24.5,5,
2017,32,川崎Ｆ,Ｇ大阪,1,0,3,1,1,1.422222222,1.8,1.8,H,76,2.2,0.977574168,25.5,6,48,1.014150072,23,7,
2017,34,川崎Ｆ,大宮,5,0,3,1,1,1.787234043,1.8,1.1,H,76,2.6,0.977574168,25.5,6,52,0.859866258,25.8,6,
2018,2,川崎Ｆ,湘南,1,1,1,1,0,1.878787879,2,1,H,72,2.6,1.224513848,25.5,7,25,0.585150265,24.2,4,
2018,3,川崎Ｆ,Ｇ大阪,2,0,3,1,1,1.422222222,1.8,1.8,H,72,2.6,1.224513848,25.5,7,43,0.945786682,23.1,5,
2018,5,川崎Ｆ,広島,0,1,0,0,0,1.76744186,1.8,1.1,H,72,2.6,1.224513848,25.5,7,33,1.015321155,25,4,
2018,7,川崎Ｆ,Ｃ大阪,1,2,0,0,0,1.428571429,2,1.8,H,72,1.6,1.224513848,25.5,7,63,1.208014143,24.1,7,
2018,9,川崎Ｆ,鹿島,4,1,3,1,1,1.551020408,1.6,1.5,H,72,1,1.224513848,25.5,7,72,1.121390689,25,6,
2018,12,川崎Ｆ,浦和,0,2,0,0,0,1.466666667,1.6,1.4,H,72,2,1.224513848,25.5,7,49,1.563347083,26.3,6,
2018,13,川崎Ｆ,FC東京,0,2,0,0,0,1.714285714,1.9,1.3,H,72,2,1.224513848,25.5,7,40,0.991750147,23.3,5,
2018,15,川崎Ｆ,清水,3,0,3,1,1,1.567567568,1.8,1.4,H,72,1.8,1.224513848,25.5,7,28,0.704183854,25.3,6,
2018,17,川崎Ｆ,長崎,1,0,3,1,1,2.146666667,0.866666667,0.64,H,72,1.8,1.224513848,25.5,7,25,0.446670595,25.2,5,
2018,20,川崎Ｆ,横浜FM,2,0,3,1,1,1.604166667,1.5,1.4,H,72,2.4,1.224513848,25.5,7,59,0.820860342,23.8,8,
2018,22,川崎Ｆ,鳥栖,0,0,1,1,0,2,1.9,0.9,H,72,2.4,1.224513848,25.5,7,47,1.143193872,25.4,7,
2018,24,川崎Ｆ,仙台,1,0,3,1,1,2.022727273,2.1,1.2,H,72,2,1.224513848,25.5,7,41,0.701237478,23.9,5,
2018,26,川崎Ｆ,札幌,7,0,3,1,1,2.379310345,2.2,0.7,H,72,2,1.224513848,25.5,7,43,0.649970536,25.9,6,
