FC東京.xlsx,市場価値.xlsx,通算対戦成績.xlsx,,objective variable,,,,,explanatory variable,,,,,,,,,,,,,
Basic information,,,,point result,,score result,,,compatibility,,,others,ME,,,,,opponent,,,,
Year,Section,name of me,name of opponent,gain points,lose points,"score(win=3,draw=1,lose=0)","lose=0, not lose=1","not win=0, win=1",mean score(compatibility),mean gain points(compatibility),mean lose points(compatibility),Home/Away,score of last year(me),mean score points in last five games(me),total market value(me),mean age(me),number of foreign people(me),score of last year(opponent),total market value(opponent),mean age(opponent),number of foreign people(opponent),
2018,2,Ｃ大阪,札幌,3,3,1,1,0,1.62962963,1.4,1.1,H,63,2,1.208014143,24.1,7,43,0.649970536,25.9,6,
2018,5,Ｃ大阪,湘南,2,1,3,1,1,1.487179487,1.7,1.5,H,63,0.6,1.208014143,24.1,7,25,0.585150265,24.2,4,
2018,6,Ｃ大阪,鳥栖,2,1,3,1,1,1.666666667,1.6,1.1,H,63,1.2,1.208014143,24.1,7,47,1.143193872,25.4,7,
2018,8,Ｃ大阪,FC東京,1,0,3,1,1,1.323529412,1.3,1.5,H,63,2,1.208014143,24.1,7,40,0.991750147,23.3,5,
2018,10,Ｃ大阪,仙台,2,1,3,1,1,1.416666667,1.4,1.3,H,63,2.4,1.208014143,24.1,7,41,0.701237478,23.9,5,
2018,13,Ｃ大阪,長崎,3,1,3,1,1,1.686666667,0.7,0.493333333,H,63,1.6,1.208014143,24.1,7,25,0.446670595,25.2,5,
2018,17,Ｃ大阪,浦和,1,1,1,1,0,1.42,1.6,1.5,H,63,1.6,1.208014143,24.1,7,49,1.563347083,26.3,6,
2018,14,Ｃ大阪,鹿島,0,2,0,0,0,1.150943396,1.1,1.5,H,63,1.6,1.208014143,24.1,7,72,1.121390689,25,6,
2018,19,Ｃ大阪,神戸,1,1,1,1,0,1.605263158,1.5,1.2,H,63,1,1.208014143,24.1,7,44,2.291101945,25.9,8,
2018,22,Ｃ大阪,清水,3,1,3,1,1,1.442307692,1.8,1.6,H,63,0.6,1.208014143,24.1,7,28,0.704183854,25.3,6,
2018,24,Ｃ大阪,広島,0,1,0,0,0,1.25,1.5,1.6,H,63,1.6,1.208014143,24.1,7,33,1.015321155,25,4,
2018,26,Ｃ大阪,磐田,1,1,1,1,0,1.311111111,1.7,1.8,H,63,2,1.208014143,24.1,7,58,0.868002357,26,6,
2018,29,Ｃ大阪,Ｇ大阪,0,1,0,0,0,1.04,1.2,1.9,H,63,1.6,1.208014143,24.1,7,43,0.945786682,23.1,5,
2018,28,Ｃ大阪,名古屋,0,1,0,0,0,1.134615385,1.2,1.7,H,63,1,1.208014143,24.1,7,25,0.81496759,23.7,6,
2018,32,Ｃ大阪,川崎Ｆ,2,1,3,1,1,1.342857143,1.8,2,H,63,0.8,1.208014143,24.1,7,72,1.224513848,25.5,7,
2018,33,Ｃ大阪,柏,0,3,0,0,0,1.292682927,1.6,1.8,H,63,1.2,1.208014143,24.1,7,62,0.904537419,24.2,7,
2019,1,Ｃ大阪,神戸,1,0,3,1,1,1.605263158,1.5,1.2,H,50,1.2,1.179596954,24.8,9,45,2.002507569,25.6,9,
2019,3,Ｃ大阪,広島,0,1,0,0,0,1.25,1.5,1.6,H,50,1.8,1.179596954,24.8,9,57,0.868597291,25.3,5,
2019,4,Ｃ大阪,浦和,1,2,0,0,0,1.42,1.6,1.5,H,50,1.2,1.179596954,24.8,9,51,1.463074524,24.9,5,
2019,7,Ｃ大阪,札幌,0,1,0,0,0,1.62962963,1.4,1.1,H,50,0.8,1.179596954,24.8,9,55,0.542185254,23.8,6,
2019,9,Ｃ大阪,大分,0,0,1,1,0,1.791666667,1.2,0.8,H,50,0.8,1.179596954,24.8,9,30,0.419987156,23.9,2,
2019,11,Ｃ大阪,横浜FM,3,0,3,1,1,1.395833333,1.5,1.4,H,50,1,1.179596954,24.8,9,41,0.885110547,24.2,9,
2019,13,Ｃ大阪,FC東京,1,0,3,1,1,1.323529412,1.3,1.5,H,50,1.4,1.179596954,24.8,9,50,0.806397358,23.2,8,
2019,16,Ｃ大阪,磐田,2,0,3,1,1,1.311111111,1.7,1.8,H,50,1.8,1.179596954,24.8,9,41,0.959420201,26.6,8,
2019,19,Ｃ大阪,名古屋,3,0,3,1,1,1.134615385,1.2,1.7,H,50,2,1.179596954,24.8,9,41,1.065105043,23.9,6,
2019,20,Ｃ大阪,仙台,0,0,1,1,0,1.416666667,1.4,1.3,H,50,2,1.179596954,24.8,9,45,0.673190422,25.9,6,
2019,22,Ｃ大阪,鳥栖,1,2,0,0,0,1.666666667,1.6,1.1,H,50,1.6,1.179596954,24.8,9,41,1.279777377,25,10,
2019,25,Ｃ大阪,川崎Ｆ,2,1,3,1,1,1.342857143,1.8,2,H,50,1.4,1.179596954,24.8,9,69,1.169689,24.9,5,
2019,27,Ｃ大阪,Ｇ大阪,3,1,3,1,1,1.04,1.2,1.9,H,50,2.4,1.179596954,24.8,9,48,1.493348827,24.3,7,
2019,28,Ｃ大阪,鹿島,0,1,0,0,0,1.150943396,1.1,1.5,H,50,3,1.179596954,24.8,9,56,1.061251949,24.4,6,
2019,30,Ｃ大阪,松本,1,1,1,1,0,2,1.6,0.6,H,50,2.4,1.179596954,24.8,9,30,0.753004495,26,7,
2019,31,Ｃ大阪,湘南,1,0,3,1,1,1.487179487,1.7,1.5,H,50,2,1.179596954,24.8,9,41,0.566955139,23.2,5,
2019,33,Ｃ大阪,清水,2,1,3,1,1,1.442307692,1.8,1.6,H,50,1.4,1.179596954,24.8,9,49,0.810800893,24.4,7,
2020,1,Ｃ大阪,大分,1,0,3,1,1,1.791666667,1.2,0.8,H,59,2,1.187416294,23.7,8,47,0.710398085,24.1,1,
2020,3,Ｃ大阪,清水,2,0,3,1,1,1.442307692,1.8,1.6,H,59,2.4,1.187416294,23.7,8,39,1.03866868,25,9,
2020,4,Ｃ大阪,名古屋,0,2,0,0,0,1.134615385,1.2,1.7,H,59,3,1.187416294,23.7,8,37,1.258199641,24.9,6,
2020,6,Ｃ大阪,神戸,0,0,1,1,0,1.605263158,1.5,1.2,H,59,2.4,1.187416294,23.7,8,47,1.233579346,24.5,5,
2020,9,Ｃ大阪,FC東京,0,0,1,1,0,1.323529412,1.3,1.5,H,59,1.6,1.187416294,23.7,8,64,0.938648733,23.7,5,
2020,12,Ｃ大阪,仙台,2,1,3,1,1,1.416666667,1.4,1.3,H,59,1.6,1.187416294,23.7,8,41,0.883765993,24.8,7,
2020,14,Ｃ大阪,浦和,3,0,3,1,1,1.42,1.6,1.5,H,59,2,1.187416294,23.7,8,37,1.561849942,25.3,6,
2020,15,Ｃ大阪,札幌,2,0,3,1,1,1.62962963,1.4,1.1,H,59,2.4,1.187416294,23.7,8,46,1.005328698,23.9,9,
2020,17,Ｃ大阪,鹿島,1,2,0,0,0,1.150943396,1.1,1.5,H,59,3,1.187416294,23.7,8,63,1.064314821,24.4,5,
2020,20,Ｃ大阪,川崎Ｆ,1,3,0,0,0,1.342857143,1.8,2,H,59,1.8,1.187416294,23.7,8,60,1.178696606,26.1,5,
2020,22,Ｃ大阪,湘南,1,0,3,1,1,1.487179487,1.7,1.5,H,59,0.6,1.187416294,23.7,8,36,0.678596871,23.5,3,
2020,23,Ｃ大阪,横浜FM,4,1,3,1,1,1.395833333,1.5,1.4,H,59,1.2,1.187416294,23.7,8,70,1.297694697,23,7,
2020,26,Ｃ大阪,Ｇ大阪,1,1,1,1,0,1.04,1.2,1.9,H,59,1.2,1.187416294,23.7,8,47,1.074573277,23.9,7,
2020,28,Ｃ大阪,広島,0,1,0,0,0,1.25,1.5,1.6,H,59,1.4,1.187416294,23.7,8,55,0.842732169,25.7,4,
2020,30,Ｃ大阪,横浜FC,1,0,3,1,1,1.941176471,1.9,1,H,59,0.8,1.187416294,23.7,8,31,0.471888981,26.9,4,
2020,32,Ｃ大阪,柏,0,0,1,1,0,1.292682927,1.6,1.8,H,59,1.8,1.187416294,23.7,8,31,0.914541362,23.9,6,
2020,33,Ｃ大阪,鳥栖,1,2,0,0,0,1.666666667,1.6,1.1,H,59,2,1.187416294,23.7,8,36,0.659105805,24.4,10,
2021,1,Ｃ大阪,柏,2,0,3,1,1,1.292682927,1.6,1.8,H,60,1.6,1.235336667,26.5,5,52,1.187533415,26,9,
2021,3,Ｃ大阪,清水,2,1,3,1,1,1.442307692,1.8,1.6,H,60,0.8,1.235336667,26.5,5,28,1.100103783,26.5,7,
2021,5,Ｃ大阪,大分,1,0,3,1,1,1.791666667,1.2,0.8,H,60,1.8,1.235336667,26.5,5,43,0.671761487,26.4,2,
2021,7,Ｃ大阪,鳥栖,1,0,3,1,1,1.666666667,1.6,1.1,H,60,2,1.235336667,26.5,5,36,0.652891782,25.3,7,
2021,9,Ｃ大阪,福岡,2,2,1,1,0,1.918918919,2.1,1.1,H,60,2,1.235336667,26.5,5,27,0.932792402,27.3,8,
2021,18,Ｃ大阪,徳島,1,2,0,0,0,2.176470588,1.8,0.9,H,60,1.6,1.235336667,26.5,5,27,0.917067648,25.8,4,
2021,10,Ｃ大阪,浦和,1,0,3,1,1,1.42,1.6,1.5,H,60,1,1.235336667,26.5,5,46,0.996949398,26.6,2,
2021,12,Ｃ大阪,Ｇ大阪,1,1,1,1,0,1.04,1.2,1.9,H,60,1.4,1.235336667,26.5,5,65,1.187533415,26.7,7,
2017,6,Ｇ大阪,広島,0,1,0,0,0,1.543209877,1.7,1.6,H,48,2.2,1.014150072,23,7,58,1.288801862,25.9,5,
2017,8,Ｇ大阪,大宮,6,0,3,1,1,2,2,1,H,48,1.6,1.014150072,23,7,52,0.859866258,25.8,6,
2017,10,Ｇ大阪,清水,1,1,1,1,0,1.561643836,1.7,1.5,H,48,2,1.014150072,23,7,22,0.711567592,24.6,5,
2017,12,Ｇ大阪,鳥栖,3,0,3,1,1,1.75,1.7,1.3,H,48,2.2,1.014150072,23,7,34,1.20700484,24.9,6,
2017,16,Ｇ大阪,川崎Ｆ,1,1,1,1,0,1.422222222,1.8,1.8,H,48,2,1.014150072,23,7,76,0.977574168,25.5,6,
2017,13,Ｇ大阪,鹿島,0,1,0,0,0,1.175675676,1.2,1.6,H,48,2,1.014150072,23,7,78,1.179074149,24.3,7,
2017,19,Ｇ大阪,Ｃ大阪,3,1,3,1,1,1.76,1.9,1.2,H,48,1.4,1.014150072,23,7,22,1.172423985,23.2,5,
2017,22,Ｇ大阪,磐田,0,2,0,0,0,1.35483871,1.6,1.6,H,48,0.8,1.014150072,23,7,46,0.80333986,25.5,3,
2017,23,Ｇ大阪,柏,0,1,0,0,0,1.24137931,1.6,1.8,H,48,0.8,1.014150072,23,7,48,0.911072524,23.2,6,
2017,25,Ｇ大阪,神戸,1,2,0,0,0,1.666666667,2,1.4,H,48,0.8,1.014150072,23,7,40,1.82547013,25.2,5,
2017,28,Ｇ大阪,横浜FM,1,2,0,0,0,1.1875,1.4,1.6,H,48,0.8,1.014150072,23,7,44,0.901097277,23.2,6,
2017,29,Ｇ大阪,新潟,0,1,0,0,0,1.7,2,1.3,H,48,0.8,1.014150072,23,7,36,0.711567592,24.3,6,
2017,31,Ｇ大阪,仙台,1,1,1,1,0,1.730769231,1.8,1.1,H,48,0.4,1.014150072,23,7,46,0.736838216,24.5,5,
2017,33,Ｇ大阪,札幌,0,1,0,0,0,1.892857143,1.9,0.9,H,48,0.4,1.014150072,23,7,22,0.673661654,26.9,7,
2018,1,Ｇ大阪,名古屋,2,3,0,0,0,1.411764706,1.9,1.8,H,43,0.6,0.945786682,23.1,5,25,0.81496759,23.7,6,
2018,4,Ｇ大阪,柏,2,2,1,1,0,1.24137931,1.6,1.8,H,43,0.2,0.945786682,23.1,5,62,0.904537419,24.2,7,
2018,6,Ｇ大阪,神戸,0,1,0,0,0,1.666666667,2,1.4,H,43,0.2,0.945786682,23.1,5,44,2.291101945,25.9,8,
2018,7,Ｇ大阪,磐田,2,0,3,1,1,1.35483871,1.6,1.6,H,43,0.2,0.945786682,23.1,5,58,0.868002357,26,6,
2018,9,Ｇ大阪,Ｃ大阪,1,0,3,1,1,1.76,1.9,1.2,H,43,0.8,0.945786682,23.1,5,63,1.208014143,24.1,7,
2018,11,Ｇ大阪,鳥栖,3,0,3,1,1,1.75,1.7,1.3,H,43,1.2,0.945786682,23.1,5,47,1.143193872,25.4,7,
2018,12,Ｇ大阪,仙台,1,0,3,1,1,1.730769231,1.8,1.1,H,43,1.8,0.945786682,23.1,5,41,0.701237478,23.9,5,
2018,15,Ｇ大阪,浦和,0,0,1,1,0,1.444444444,1.5,1.4,H,43,1.4,0.945786682,23.1,5,49,1.563347083,26.3,6,
2018,17,Ｇ大阪,清水,1,2,0,0,0,1.561643836,1.7,1.5,H,43,1,0.945786682,23.1,5,28,0.704183854,25.3,6,
2018,18,Ｇ大阪,鹿島,1,1,1,1,0,1.175675676,1.2,1.6,H,43,0.4,0.945786682,23.1,5,72,1.121390689,25,6,
2018,21,Ｇ大阪,FC東京,2,1,3,1,1,1.395348837,1.7,1.5,H,43,0.4,0.945786682,23.1,5,40,0.991750147,23.3,5,
2018,22,Ｇ大阪,札幌,1,1,1,1,0,1.892857143,1.9,0.9,H,43,1,0.945786682,23.1,5,43,0.649970536,25.9,6,
2018,25,Ｇ大阪,川崎Ｆ,2,0,3,1,1,1.422222222,1.8,1.8,H,43,0.8,0.945786682,23.1,5,72,1.224513848,25.5,7,
2018,28,Ｇ大阪,広島,1,0,3,1,1,1.543209877,1.7,1.6,H,43,1.8,0.945786682,23.1,5,33,1.015321155,25,4,
2018,30,Ｇ大阪,横浜FM,2,1,3,1,1,1.1875,1.4,1.6,H,43,3,0.945786682,23.1,5,59,0.820860342,23.8,8,
2018,32,Ｇ大阪,湘南,1,0,3,1,1,2.03030303,1.8,1.4,H,43,3,0.945786682,23.1,5,25,0.585150265,24.2,4,
2018,33,Ｇ大阪,長崎,2,1,3,1,1,1.428571429,0.639455782,0.394557823,H,43,3,0.945786682,23.1,5,25,0.446670595,25.2,5,
2019,1,Ｇ大阪,横浜FM,2,3,0,0,0,1.1875,1.4,1.6,H,48,2.4,1.493348827,24.3,7,41,0.885110547,24.2,9,
2019,3,Ｇ大阪,名古屋,2,3,0,0,0,1.411764706,1.9,1.8,H,48,1.8,1.493348827,24.3,7,41,1.065105043,23.9,6,
2019,5,Ｇ大阪,神戸,3,4,0,0,0,1.666666667,2,1.4,H,48,1.2,1.493348827,24.3,7,45,2.002507569,25.6,9,
2019,7,Ｇ大阪,浦和,0,1,0,0,0,1.444444444,1.5,1.4,H,48,1.2,1.493348827,24.3,7,51,1.463074524,24.9,5,
2019,8,Ｇ大阪,大分,1,1,1,1,0,1.9,1.8,1.1,H,48,0.6,1.493348827,24.3,7,30,0.419987156,23.9,2,
2019,10,Ｇ大阪,FC東京,0,0,1,1,0,1.395348837,1.7,1.5,H,48,0.2,1.493348827,24.3,7,50,0.806397358,23.2,8,
2019,12,Ｇ大阪,Ｃ大阪,1,0,3,1,1,1.76,1.9,1.2,H,48,0.4,1.493348827,24.3,7,50,1.179596954,24.8,9,
2019,14,Ｇ大阪,鹿島,1,1,1,1,0,1.175675676,1.2,1.6,H,48,1,1.493348827,24.3,7,56,1.061251949,24.4,6,
2019,16,Ｇ大阪,湘南,1,0,3,1,1,2.03030303,1.8,1.4,H,48,1.2,1.493348827,24.3,7,41,0.566955139,23.2,5,
2019,19,Ｇ大阪,清水,1,0,3,1,1,1.561643836,1.7,1.5,H,48,1.6,1.493348827,24.3,7,49,0.810800893,24.4,7,
2019,22,Ｇ大阪,広島,1,1,1,1,0,1.543209877,1.7,1.6,H,48,1.6,1.493348827,24.3,7,57,0.868597291,25.3,5,
2019,23,Ｇ大阪,磐田,1,1,1,1,0,1.35483871,1.6,1.6,H,48,1.2,1.493348827,24.3,7,41,0.959420201,26.6,8,
2019,26,Ｇ大阪,鳥栖,1,0,3,1,1,1.75,1.7,1.3,H,48,0.8,1.493348827,24.3,7,41,1.279777377,25,10,
2019,28,Ｇ大阪,札幌,5,0,3,1,1,1.892857143,1.9,0.9,H,48,1,1.493348827,24.3,7,55,0.542185254,23.8,6,
2019,29,Ｇ大阪,川崎Ｆ,2,2,1,1,0,1.422222222,1.8,1.8,H,48,1.4,1.493348827,24.3,7,69,1.169689,24.9,5,
2019,32,Ｇ大阪,仙台,2,0,3,1,1,1.730769231,1.8,1.1,H,48,1.4,1.493348827,24.3,7,45,0.673190422,25.9,6,
2019,33,Ｇ大阪,松本,4,1,3,1,1,2.25,1.8,0.8,H,48,2,1.493348827,24.3,7,30,0.753004495,26,7,
2020,2,Ｇ大阪,Ｃ大阪,1,2,0,0,0,1.76,1.9,1.2,H,47,2.4,1.074573277,23.9,7,59,1.187416294,23.7,8,
2020,5,Ｇ大阪,大分,2,1,3,1,1,1.9,1.8,1.1,H,47,2,1.074573277,23.9,7,47,0.710398085,24.1,1,
2020,6,Ｇ大阪,広島,1,0,3,1,1,1.543209877,1.7,1.6,H,47,2,1.074573277,23.9,7,55,0.842732169,25.7,4,
2020,8,Ｇ大阪,川崎Ｆ,0,1,0,0,0,1.422222222,1.8,1.8,H,47,2.6,1.074573277,23.9,7,60,1.178696606,26.1,5,
2020,9,Ｇ大阪,横浜FC,2,1,3,1,1,1.857142857,1.7,1.1,H,47,2.4,1.074573277,23.9,7,31,0.471888981,26.9,4,
2020,11,Ｇ大阪,浦和,1,3,0,0,0,1.444444444,1.5,1.4,H,47,2.4,1.074573277,23.9,7,37,1.561849942,25.3,6,
2020,13,Ｇ大阪,FC東京,1,3,0,0,0,1.395348837,1.7,1.5,H,47,1.4,1.074573277,23.9,7,64,0.938648733,23.7,5,
2020,16,Ｇ大阪,湘南,0,1,0,0,0,2.03030303,1.8,1.4,H,47,0.8,1.074573277,23.9,7,36,0.678596871,23.5,3,
2020,18,Ｇ大阪,名古屋,2,1,3,1,1,1.411764706,1.9,1.8,H,47,1.2,1.074573277,23.9,7,37,1.258199641,24.9,6,
2020,20,Ｇ大阪,鹿島,2,0,3,1,1,1.175675676,1.2,1.6,H,47,1.8,1.074573277,23.9,7,63,1.064314821,24.4,5,
2020,22,Ｇ大阪,横浜FM,1,1,1,1,0,1.1875,1.4,1.6,H,47,3,1.074573277,23.9,7,70,1.297694697,23,7,
2020,24,Ｇ大阪,柏,2,1,3,1,1,1.24137931,1.6,1.8,H,47,2.6,1.074573277,23.9,7,31,0.914541362,23.9,6,
2020,25,Ｇ大阪,札幌,2,1,3,1,1,1.892857143,1.9,0.9,H,47,2.6,1.074573277,23.9,7,46,1.005328698,23.9,9,
2020,32,Ｇ大阪,神戸,1,0,3,1,1,1.666666667,2,1.4,H,47,2.2,1.074573277,23.9,7,47,1.233579346,24.5,5,
2020,27,Ｇ大阪,仙台,0,4,0,0,0,1.730769231,1.8,1.1,H,47,2.6,1.074573277,23.9,7,41,0.883765993,24.8,7,
2020,30,Ｇ大阪,鳥栖,1,1,1,1,0,1.75,1.7,1.3,H,47,1.4,1.074573277,23.9,7,36,0.659105805,24.4,10,
2020,34,Ｇ大阪,清水,0,2,0,0,0,1.561643836,1.7,1.5,H,47,2,1.074573277,23.9,7,39,1.03866868,25,9,
2021,8,Ｇ大阪,福岡,0,0,1,1,0,1.904761905,1.6,1,H,65,1.4,1.187533415,26.7,7,27,0.932792402,27.3,8,
2021,10,Ｇ大阪,清水,0,0,1,1,0,1.561643836,1.7,1.5,H,65,1,1.187533415,26.7,7,28,1.100103783,26.5,7,
2021,13,Ｇ大阪,川崎Ｆ,0,2,0,0,0,1.422222222,1.8,1.8,H,65,1,1.187533415,26.7,7,83,1.398245117,27.1,5,
2021,20,Ｇ大阪,広島,1,2,0,0,0,1.543209877,1.7,1.6,H,65,1,1.187533415,26.7,7,48,0.96738686,27.3,4,
2021,14,Ｇ大阪,浦和,0,3,0,0,0,1.444444444,1.5,1.4,H,65,0.4,1.187533415,26.7,7,46,0.996949398,26.6,2,
2017,7,神戸,柏,1,2,0,0,0,1.018518519,1.1,1.8,H,40,2.4,1.82547013,25.2,5,48,0.911072524,23.2,6,
2017,9,神戸,甲府,0,1,0,0,0,1.785714286,1.9,1.3,H,40,1.2,1.82547013,25.2,5,30,0.577234271,26.7,8,
2017,12,神戸,FC東京,1,1,1,1,0,0.854166667,0.9,1.4,H,40,0.8,1.82547013,25.2,5,46,1.127202867,24.2,6,
2017,13,神戸,Ｃ大阪,1,2,0,0,0,1.210526316,1.2,1.5,H,40,1,1.82547013,25.2,5,22,1.172423985,23.2,5,
2017,15,神戸,Ｇ大阪,0,1,0,0,0,1.111111111,1.4,2,H,40,1.6,1.82547013,25.2,5,48,1.014150072,23,7,
2017,18,神戸,仙台,3,0,3,1,1,1.483870968,1.4,1.2,H,40,0.6,1.82547013,25.2,5,46,0.736838216,24.5,5,
2017,19,神戸,大宮,3,1,3,1,1,1.740740741,1.6,0.9,H,40,1.2,1.82547013,25.2,5,52,0.859866258,25.8,6,
2017,21,神戸,鹿島,1,2,0,0,0,0.875,1,1.9,H,40,1.2,1.82547013,25.2,5,78,1.179074149,24.3,7,
2017,23,神戸,横浜FM,0,0,1,1,0,1,1.1,1.7,H,40,1.2,1.82547013,25.2,5,44,0.901097277,23.2,6,
2017,26,神戸,札幌,2,0,3,1,1,1.785714286,2,1.4,H,40,0.8,1.82547013,25.2,5,22,0.673661654,26.9,7,
2017,27,神戸,川崎Ｆ,0,0,1,1,0,1.028571429,1.3,2.1,H,40,1.4,1.82547013,25.2,5,76,0.977574168,25.5,6,
2017,30,神戸,鳥栖,1,2,0,0,0,1.678571429,1.7,1.1,H,40,2.2,1.82547013,25.2,5,34,1.20700484,24.9,6,
2017,32,神戸,広島,1,2,0,0,0,0.956521739,1.2,1.7,H,40,1.6,1.82547013,25.2,5,58,1.288801862,25.9,5,
2017,34,神戸,清水,1,3,0,0,0,1.132075472,1.4,1.5,H,40,0.8,1.82547013,25.2,5,22,0.711567592,24.6,5,
2018,2,神戸,清水,2,4,0,0,0,1.132075472,1.4,1.5,H,44,0.8,2.291101945,25.9,8,28,0.704183854,25.3,6,
2018,4,神戸,Ｃ大阪,2,0,3,1,1,1.210526316,1.2,1.5,H,44,0.4,2.291101945,25.9,8,63,1.208014143,24.1,7,
2018,7,神戸,浦和,2,3,0,0,0,1.038461538,1.1,1.7,H,44,1.4,2.291101945,25.9,8,49,1.563347083,26.3,6,
2018,9,神戸,名古屋,3,0,3,1,1,1.185185185,1.3,1.6,H,44,1.8,2.291101945,25.9,8,25,0.81496759,23.7,6,
2018,11,神戸,川崎Ｆ,1,2,0,0,0,1.028571429,1.3,2.1,H,44,2,2.291101945,25.9,8,72,1.224513848,25.5,7,
2018,12,神戸,FC東京,0,0,1,1,0,0.854166667,0.9,1.4,H,44,1.4,2.291101945,25.9,8,40,0.991750147,23.3,5,
2018,15,神戸,札幌,4,0,3,1,1,1.785714286,2,1.4,H,44,1,2.291101945,25.9,8,43,0.649970536,25.9,6,
2018,17,神戸,湘南,0,3,0,0,0,1.178571429,1.3,1.4,H,44,2,2.291101945,25.9,8,25,0.585150265,24.2,4,
2018,18,神戸,柏,1,0,3,1,1,1.018518519,1.1,1.8,H,44,1.8,2.291101945,25.9,8,62,0.904537419,24.2,7,
2018,21,神戸,磐田,2,1,3,1,1,1.214285714,1.5,1.7,H,44,1.4,2.291101945,25.9,8,58,0.868002357,26,6,
2018,22,神戸,広島,1,1,1,1,0,0.956521739,1.2,1.7,H,44,1.4,2.291101945,25.9,8,33,1.015321155,25,4,
2018,24,神戸,横浜FM,0,2,0,0,0,1,1.1,1.7,H,44,1.6,2.291101945,25.9,8,59,0.820860342,23.8,8,
2018,26,神戸,Ｇ大阪,1,2,0,0,0,1.111111111,1.4,2,H,44,1.4,2.291101945,25.9,8,43,0.945786682,23.1,5,
2018,28,神戸,鹿島,0,5,0,0,0,0.875,1,1.9,H,44,0.6,2.291101945,25.9,8,72,1.121390689,25,6,
2018,29,神戸,長崎,1,1,1,1,0,1.306666667,0.586666667,0.36,H,44,0,2.291101945,25.9,8,25,0.446670595,25.2,5,
2018,32,神戸,鳥栖,0,0,1,1,0,1.678571429,1.7,1.1,H,44,0.8,2.291101945,25.9,8,47,1.143193872,25.4,7,
2018,34,神戸,仙台,3,2,3,1,1,1.483870968,1.4,1.2,H,44,1.2,2.291101945,25.9,8,41,0.701237478,23.9,5,
2019,2,神戸,鳥栖,1,0,3,1,1,1.678571429,1.7,1.1,H,45,1.6,2.002507569,25.6,9,41,1.279777377,25,10,
2019,4,神戸,清水,1,1,1,1,0,1.132075472,1.4,1.5,H,45,2,2.002507569,25.6,9,49,0.810800893,24.4,7,
2019,7,神戸,広島,2,4,0,0,0,0.956521739,1.2,1.7,H,45,2,2.002507569,25.6,9,57,0.868597291,25.3,5,
2019,9,神戸,川崎Ｆ,1,2,0,0,0,1.028571429,1.3,2.1,H,45,0.8,2.002507569,25.6,9,69,1.169689,24.9,5,
2019,11,神戸,鹿島,0,1,0,0,0,0.875,1,1.9,H,45,0,2.002507569,25.6,9,56,1.061251949,24.4,6,
2019,13,神戸,湘南,4,1,3,1,1,1.178571429,1.3,1.4,H,45,0,2.002507569,25.6,9,41,0.566955139,23.2,5,
2019,16,神戸,大分,2,2,1,1,0,1.409090909,1.1,1.4,H,45,1.4,2.002507569,25.6,9,30,0.419987156,23.9,2,
2019,17,神戸,名古屋,5,3,3,1,1,1.185185185,1.3,1.6,H,45,1.6,2.002507569,25.6,9,41,1.065105043,23.9,6,
2019,20,神戸,横浜FM,0,2,0,0,0,1,1.1,1.7,H,45,1.4,2.002507569,25.6,9,41,0.885110547,24.2,9,
2019,21,神戸,Ｇ大阪,2,2,1,1,0,1.111111111,1.4,2,H,45,0.8,2.002507569,25.6,9,48,1.493348827,24.3,7,
2019,23,神戸,浦和,3,0,3,1,1,1.038461538,1.1,1.7,H,45,0.4,2.002507569,25.6,9,51,1.463074524,24.9,5,
2019,25,神戸,札幌,2,3,0,0,0,1.785714286,2,1.4,H,45,1.6,2.002507569,25.6,9,55,0.542185254,23.8,6,
2019,26,神戸,松本,2,1,3,1,1,2.25,3,0.9,H,45,1.6,2.002507569,25.6,9,30,0.753004495,26,7,
2019,29,神戸,FC東京,1,3,0,0,0,0.854166667,0.9,1.4,H,45,1.8,2.002507569,25.6,9,50,0.806397358,23.2,8,
2019,30,神戸,仙台,2,0,3,1,1,1.483870968,1.4,1.2,H,45,1.2,2.002507569,25.6,9,45,0.673190422,25.9,6,
2019,32,神戸,Ｃ大阪,1,0,3,1,1,1.210526316,1.2,1.5,H,45,1.2,2.002507569,25.6,9,50,1.179596954,24.8,9,
2019,34,神戸,磐田,4,1,3,1,1,1.214285714,1.5,1.7,H,45,1.8,2.002507569,25.6,9,41,0.959420201,26.6,8,
2020,1,神戸,横浜FC,1,1,1,1,0,1.7,1.4,0.8,H,47,2.4,1.233579346,24.5,5,31,0.471888981,26.9,4,
2020,2,神戸,広島,0,3,0,0,0,0.956521739,1.2,1.7,H,47,2,1.233579346,24.5,5,55,0.842732169,25.7,4,
2020,5,神戸,清水,3,1,3,1,1,1.132075472,1.4,1.5,H,47,1.6,1.233579346,24.5,5,39,1.03866868,25,9,
2020,7,神戸,Ｇ大阪,0,2,0,0,0,1.111111111,1.4,2,H,47,1.6,1.233579346,24.5,5,47,1.074573277,23.9,7,
2020,9,神戸,仙台,1,2,0,0,0,1.483870968,1.4,1.2,H,47,1.6,1.233579346,24.5,5,41,0.883765993,24.8,7,
2020,11,神戸,柏,2,3,0,0,0,1.018518519,1.1,1.8,H,47,1,1.233579346,24.5,5,31,0.914541362,23.9,6,
2020,24,神戸,川崎Ｆ,2,2,1,1,0,1.028571429,1.3,2.1,H,47,1.4,1.233579346,24.5,5,60,1.178696606,26.1,5,
